RECTYPE,URN,PCODE,TELNUM,TKS1EXP_L,PKS1EXP_L,TKS1EXP_M,PKS1EXP_M,TKS1EXP_H,PKS1EXP_H,TFSMCLA,PTFSMCLA,PT2MATH12,PT2READ12,PT2WRITTA12,TAPS,AVGLEVEL,PT2MATH12_B,PT2MATH12_G,PT2MATH12_L,PT2MATH12_M,PT2MATH12_H,PTREADX,PTREADAT,GAPN_3YR_RWMX_FSMCLA,GAPN_2YR_PRREAD_NOTFSMCLA,GAPN_2YR_PRWRIT_NOTFSMCLA,GAPN_3YR_PRMAT_NOTFSMCLA
1,107211,BD3 8QX,01274 770170,44,52%,36,43%,4,5%,40,45%,99%,99%,99%,29,4A,98%,100%,98%,100%,SUPP,96%,0%,19,10,7,9
1,107263,BD22 0PP,01535 605916,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-41,-19,-6,5
1,107264,BD22 9DL,01535 643320,3,12%,16,64%,6,24%,9,35%,96%,96%,92%,29.1,4A,90%,100%,SUPP,94%,100%,100%,0%,24,8,-6,5
1,107241,BD15 7PQ,01274 541554,11,38%,16,55%,2,7%,22,73%,59%,79%,83%,24.5,4C,56%,64%,27%,75%,SUPP,63%,0%,-23,-4,8,-7
1,107212,BD7 2QN,01274 579576,13,21%,39,64%,9,15%,39,57%,98%,97%,95%,28,4A,97%,100%,92%,100%,100%,93%,0%,20,6,4,10
1,107213,BD9 5AD,01274 543357,13,23%,35,63%,8,14%,20,33%,89%,89%,100%,27.4,4B,90%,89%,77%,91%,100%,75%,0%,2,1,5,0
1,134053,BD9 5AT,01274 401060,14,25%,37,66%,5,9%,17,29%,91%,95%,100%,26.9,4B,97%,83%,93%,89%,SUPP,81%,0%,-3,4,7,-2
1,107265,BD21 4RU,01535 603986,4,15%,14,52%,9,33%,9,33%,74%,81%,96%,27.7,4B,57%,92%,SUPP,79%,89%,85%,0%,17,1,6,9
1,107272,BD18 1AA,01274 582927,12,19%,40,65%,10,16%,18,29%,81%,87%,90%,27.4,4B,81%,81%,58%,85%,90%,79%,0%,7,-2,-5,-7
1,107307,BD12 0NN,01274 600797,7,12%,27,46%,25,42%,15,25%,92%,92%,90%,29.4,4A,81%,100%,57%,93%,100%,88%,0%,19,2,-7,5
1,132182,BD4 8RG,01274 770312,20,35%,37,65%,0,0%,36,61%,86%,81%,95%,26.6,4B,89%,82%,75%,92%,SUPP,76%,0%,-4,-1,6,-5
1,107291,BD9 5DF,01274 495934,16,27%,38,64%,5,8%,22,37%,97%,88%,97%,28.1,4A,94%,100%,88%,100%,SUPP,85%,0%,3,-5,4,0
1,107215,BD5 9DS,01274 573295,21,26%,53,65%,8,10%,35,41%,90%,77%,98%,26,4B,88%,93%,86%,92%,88%,65%,0%,3,-8,5,0
1,107299,LS29 6LF,01943 873180,5,12%,20,47%,18,42%,4,9%,91%,95%,98%,30,5C,91%,90%,SUPP,90%,94%,98%,0%,-17,6,3,6
1,139229,BD22 6HZ,01535 210028,,,,,,,,,,,,,,,,,,,,,,,,
1,107279,BD22 6HZ,01535 210028,4,18%,16,73%,2,9%,15,68%,95%,86%,91%,27.5,4B,91%,100%,SUPP,94%,SUPP,68%,0%,-12,4,2,2
1,107296,BD8 8RG,01274 496611,19,32%,38,64%,2,3%,22,37%,92%,95%,92%,26.7,4B,88%,94%,84%,95%,SUPP,78%,0%,2,3,2,-8
1,107437,BD16 1HB,01274 564681,4,12%,22,65%,8,24%,6,18%,88%,91%,97%,29.3,4A,80%,95%,SUPP,91%,100%,94%,0%,18,2,8,-8
1,107285,BD22 6NP,01535 665628,6,10%,36,62%,16,28%,11,19%,90%,84%,97%,28.7,4A,88%,92%,50%,92%,100%,78%,0%,0,1,5,0
1,107218,BD5 7DQ,01274 772208,14,24%,38,64%,7,12%,27,45%,97%,93%,95%,27.8,4B,97%,96%,100%,95%,100%,87%,0%,11,10,3,3
1,132185,BD4 6AF,01274 778577,12,32%,21,57%,4,11%,19,48%,97%,81%,92%,27,4B,95%,100%,100%,95%,SUPP,73%,0%,-8,3,6,8
1,107436,BD22 7HX,01535 642309,10,19%,22,42%,21,40%,10,19%,94%,94%,100%,29.9,4A,94%,95%,70%,100%,100%,93%,0%,1,6,6,6
1,107266,BD22 0HZ,01535 642394,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,107334,BD10 0QA,01274 611992,6,29%,14,67%,1,5%,14,61%,100%,95%,100%,28.3,4A,100%,100%,100%,100%,SUPP,83%,0%,-7,6,8,-2
1,107347,BD22 6JP,01535 607149,3,10%,25,83%,2,7%,12,40%,90%,93%,100%,28.5,4A,88%,92%,SUPP,92%,SUPP,93%,3%,12,7,5,10
1,107349,BD22 9LH,01535 642271,3,14%,12,57%,6,29%,6,29%,71%,90%,95%,28.5,4A,85%,50%,SUPP,75%,83%,86%,0%,19,2,3,0
1,107225,BD10 9BG,01274 611512,6,46%,6,46%,1,8%,11,85%,77%,77%,62%,23.7,3A,SUPP,75%,67%,83%,SUPP,54%,8%,-28,-7,8,-19
1,107267,BD21 4QH,01535 603832,0,0%,18,90%,2,10%,12,57%,95%,90%,100%,27.4,4B,88%,100%,SUPP,94%,SUPP,86%,0%,15,4,8,5
1,101494,BD2 4PR,01274 639377,13,22%,37,63%,9,15%,28,47%,85%,85%,97%,26.7,4B,81%,89%,69%,95%,67%,80%,0%,-1,-4,2,-4
1,107247,BD2 1LQ,01274 307490,5,21%,17,71%,2,8%,9,36%,79%,83%,96%,26.2,4B,85%,73%,SUPP,76%,SUPP,76%,0%,-6,-1,5,-4
1,107257,BD16 4JS,01274 564879,3,10%,15,52%,11,38%,5,17%,86%,83%,93%,28.8,4A,90%,84%,SUPP,80%,100%,83%,0%,6,-7,1,-2
1,107239,BD7 2AH,01274 573298,12,21%,38,66%,8,14%,27,45%,98%,95%,93%,27.9,4B,100%,96%,100%,97%,100%,92%,0%,0,5,-8,10
1,137320,BD8 7HP,01274 296822,,,,,,,,,,,,,,,,,,,,,,,,
1,107217,BD6 3ST,01274 677549,8,28%,21,72%,0,0%,22,73%,76%,69%,83%,24.5,4C,71%,80%,63%,81%,SUPP,53%,3%,-27,3,-6,0
1,107340,BD20 5AB,01535 210002,8,23%,26,74%,1,3%,13,37%,66%,74%,80%,25.7,4C,63%,68%,38%,73%,SUPP,71%,3%,-13,-10,-9,-11
1,107433,BD13 2AW,01274 882116,2,7%,18,62%,9,31%,12,41%,90%,79%,93%,28.6,4A,88%,92%,SUPP,83%,100%,83%,0%,-4,-14,5,-2
1,138675,BD4 0LS,01274 683128,9,39%,13,57%,1,4%,19,83%,100%,100%,91%,27.5,4B,100%,100%,100%,100%,SUPP,96%,0%,SUPP,SUPP,SUPP,SUPP
1,107343,LS29 8NL,01943 609578,1,4%,12,44%,14,52%,2,7%,89%,93%,81%,30.7,5C,86%,92%,SUPP,75%,100%,93%,0%,24,SUPP,SUPP,SUPP
1,107344,BD21 3AD,01535 210600,12,21%,30,53%,15,26%,7,12%,89%,88%,100%,28.4,4A,92%,88%,75%,90%,100%,78%,0%,-11,-1,3,-1
1,107324,BD14 6HW,01274 414761,4,13%,18,60%,8,27%,6,20%,87%,80%,93%,28.6,4A,100%,75%,SUPP,78%,100%,93%,0%,8,-1,-3,5
1,107348,BD18 1HD,01274 592738,3,19%,8,50%,5,31%,5,31%,88%,81%,100%,28.8,4A,75%,100%,SUPP,88%,SUPP,88%,0%,-4,SUPP,SUPP,9
1,107325,BD2 3JD,01274 637841,6,35%,6,35%,5,29%,5,26%,82%,88%,94%,25.7,4C,71%,90%,50%,100%,SUPP,53%,0%,-19,6,1,-3
1,107326,BD4 9PY,01274 681961,16,37%,24,56%,3,7%,23,52%,81%,95%,98%,27.1,4B,75%,89%,69%,88%,SUPP,75%,2%,-7,6,8,5
1,107335,BD9 5AT,01274 543445,2,8%,19,79%,3,13%,5,18%,92%,96%,96%,30.2,5C,92%,91%,SUPP,95%,SUPP,96%,0%,18,5,-2,6
1,107332,BD2 4ES,01274 638520,3,13%,16,67%,5,21%,6,25%,100%,96%,100%,29.4,4A,100%,100%,SUPP,100%,SUPP,92%,0%,5,1,8,9
1,107304,BD15 7YD,01274 777095,9,32%,15,54%,4,14%,20,71%,79%,79%,89%,25.4,4C,82%,76%,89%,67%,SUPP,68%,0%,-20,-6,3,-5
1,107333,BD6 3DQ,01274 679030,5,18%,14,50%,9,32%,8,28%,61%,57%,89%,26.3,4B,60%,62%,SUPP,71%,78%,72%,0%,-6,-10,6,-5
1,107315,BD4 6JF,01274 681959,10,17%,37,63%,12,20%,24,40%,90%,100%,97%,29.7,4A,91%,89%,80%,89%,100%,95%,0%,14,6,8,2
1,107342,BD16 4HQ,01274 564883,2,10%,11,55%,7,35%,1,5%,100%,95%,100%,31.7,5C,100%,100%,SUPP,100%,100%,100%,0%,SUPP,SUPP,SUPP,SUPP
1,107327,BD5 0RB,01274 727970,16,38%,17,40%,9,21%,19,40%,90%,88%,90%,27.3,4B,96%,82%,94%,82%,100%,74%,0%,-9,-2,2,1
1,107345,BD21 1AR,01535 605880,12,23%,29,55%,12,23%,24,44%,80%,68%,79%,26.4,4B,81%,79%,50%,83%,100%,65%,0%,-8,-12,-13,-2
1,107305,BD2 3NS,01274 639374,8,29%,17,61%,3,11%,8,28%,82%,82%,89%,26.9,4B,81%,83%,88%,76%,SUPP,72%,0%,0,-1,3,-8
1,107329,BD3 9ND,01274 773977,10,37%,16,59%,1,4%,16,50%,81%,81%,89%,26,4B,85%,79%,80%,81%,SUPP,72%,0%,-9,-7,-6,0
1,107336,BD15 7NE,01274 541737,5,19%,15,58%,6,23%,10,34%,96%,73%,96%,28.3,4A,94%,100%,SUPP,93%,100%,79%,0%,4,-5,8,4
1,107303,BD5 8HT,01274 731693,10,21%,36,75%,2,4%,26,50%,98%,96%,96%,28.3,4A,100%,94%,100%,97%,SUPP,85%,0%,-9,8,-1,-4
1,138916,BD7 3JT,01274 573396,,,,,,,,,,,,,,,,,,,,,,,,
1,107322,BD7 3JT,01274 573396,16,34%,28,60%,3,6%,37,70%,85%,87%,100%,25.7,4C,85%,86%,81%,89%,SUPP,62%,0%,-20,-2,5,6
1,107319,BD6 1ST,01274 679183,5,21%,13,54%,6,25%,7,28%,88%,100%,96%,27.8,4B,89%,83%,SUPP,85%,100%,96%,0%,5,0,-4,-5
1,107316,BD8 9JL,01274 546496,6,22%,17,63%,4,15%,13,46%,67%,85%,85%,25.8,4C,67%,67%,50%,71%,SUPP,75%,0%,-11,-2,2,-23
1,107323,BD5 7HU,01274 731698,7,23%,19,63%,4,13%,16,52%,93%,100%,100%,27.8,4B,93%,93%,100%,89%,SUPP,84%,0%,7,10,5,8
1,107346,BD18 4RL,01274 531102,4,13%,21,70%,5,17%,2,7%,97%,93%,97%,29,4A,100%,94%,SUPP,100%,SUPP,90%,0%,14,7,5,7
1,107330,BD8 9RG,01274 545743,9,35%,15,58%,2,8%,10,34%,81%,74%,78%,26.3,4B,92%,69%,89%,73%,SUPP,72%,0%,-46,-13,-9,-4
1,107331,BD6 1SR,01274 677705,5,9%,38,72%,10,19%,15,28%,98%,100%,98%,29.7,4A,97%,100%,SUPP,100%,100%,98%,0%,24,-4,4,-5
1,107270,BD18 4NR,01274 584093,2,3%,47,78%,11,18%,8,13%,85%,93%,97%,29.5,4A,91%,81%,SUPP,81%,100%,97%,0%,-6,6,6,2
1,107287,BD17 5DH,01274 598115,3,6%,33,66%,14,28%,10,20%,92%,82%,100%,28.9,4A,96%,89%,SUPP,91%,93%,80%,0%,-2,0,5,1
1,107219,BD15 9JU,01274 546493,9,21%,27,64%,6,14%,11,26%,81%,81%,86%,26.6,4B,94%,71%,78%,81%,83%,79%,0%,-13,-5,-7,-6
1,107290,BD13 2ND,01274 882458,5,8%,33,56%,21,36%,10,17%,98%,97%,98%,30,5C,97%,100%,SUPP,100%,100%,97%,0%,17,8,5,0
1,107341,BD18 2PT,01274 583900,6,20%,17,57%,7,23%,13,43%,93%,87%,90%,28.2,4A,89%,100%,67%,100%,100%,83%,0%,-1,4,-1,4
1,107235,BD12 8SA,01274 679320,4,21%,11,58%,4,21%,13,68%,100%,89%,100%,28.8,4A,100%,100%,SUPP,100%,SUPP,79%,0%,17,-12,8,9
1,107244,BD7 3NR,01274 575178,8,28%,21,72%,0,0%,16,53%,90%,86%,90%,26,4B,88%,92%,88%,90%,SUPP,73%,0%,-15,-1,4,5
1,107301,BD8 8HY,01274 731695,18,35%,32,63%,1,2%,33,62%,65%,63%,71%,23.8,3A,62%,68%,56%,69%,SUPP,49%,2%,-19,-21,-10,-15
1,107268,BD22 0HA,01535 642270,3,21%,8,57%,3,21%,1,7%,86%,86%,100%,26.6,4B,75%,100%,SUPP,88%,SUPP,86%,0%,SUPP,SUPP,SUPP,SUPP
1,107275,BD20 6NN,01535 653315,6,14%,27,64%,9,21%,8,19%,93%,88%,98%,28.8,4A,93%,92%,67%,96%,100%,88%,0%,25,-2,3,2
1,107237,BD13 2RH,01274 880569,2,17%,8,67%,2,17%,1,8%,75%,83%,83%,27.3,4B,86%,SUPP,SUPP,63%,SUPP,83%,0%,SUPP,SUPP,SUPP,SUPP
1,107220,BD2 1JL,01274 639049,15,31%,22,46%,11,23%,28,54%,77%,67%,85%,25.7,4C,78%,76%,67%,82%,82%,65%,0%,-8,-7,-2,-6
1,107221,BD10 8PJ,01274 414437,4,10%,26,67%,9,23%,4,10%,85%,92%,100%,29.3,4A,76%,94%,SUPP,92%,89%,90%,0%,-9,0,7,2
1,107222,BD3 7AU,01274 665812,36,43%,45,54%,2,2%,43,49%,82%,81%,95%,25.5,4C,83%,82%,75%,91%,SUPP,64%,0%,4,-8,2,-6
1,107223,BD13 3NN,01274 833839,8,15%,36,65%,11,20%,14,25%,71%,77%,86%,26.9,4B,76%,68%,63%,72%,82%,77%,0%,-12,-8,-10,-12
1,132180,BD10 9PY,01274 414126,3,12%,15,60%,7,28%,10,40%,92%,76%,88%,27.5,4B,100%,78%,SUPP,93%,100%,80%,0%,2,-16,8,0
1,107338,BD16 2PP,01274 564977,9,38%,14,58%,1,4%,14,58%,75%,88%,96%,25.5,4C,76%,71%,56%,86%,SUPP,58%,0%,-17,6,-4,-1
1,107269,BD21 2RD,01535 210110,9,31%,20,69%,0,0%,13,45%,83%,86%,93%,26.7,4B,92%,75%,56%,95%,SUPP,83%,0%,0,-8,-4,-13
1,107230,BD2 3DE,01274 774446,8,14%,35,59%,16,27%,18,30%,90%,85%,97%,28.8,4A,91%,88%,75%,89%,100%,83%,0%,-3,-4,6,-2
1,107300,BD8 7PL,01274 483138,22,39%,34,61%,0,0%,25,42%,84%,88%,88%,25.7,4C,90%,78%,73%,91%,SUPP,73%,2%,0,-4,-1,-4
1,128081,BD3 0HW,01274 648490,13,30%,28,64%,3,7%,24,50%,86%,93%,91%,27.2,4B,83%,90%,69%,93%,SUPP,81%,0%,2,5,-5,-4
1,107232,BD8 9HZ,01274 543711,18,30%,36,60%,6,10%,42,53%,82%,61%,82%,23.3,3A,87%,77%,72%,86%,100%,46%,0%,-26,-23,-12,-13
1,139046,BD8 9HZ,01274 543711,,,,,,,,,,,,,,,,,,,,,,,,
1,107233,BD6 1RL,01274 678016,18,20%,50,56%,22,24%,32,36%,94%,90%,89%,28.3,4A,96%,92%,83%,96%,100%,83%,0%,3,1,-1,2
1,107258,BD15 0AE,01535 272263,4,7%,36,61%,19,32%,10,17%,66%,83%,98%,27.7,4B,72%,62%,SUPP,64%,74%,87%,0%,4,0,6,-10
1,107312,BD18 2NT,01274 410349,8,44%,9,50%,1,6%,13,72%,83%,72%,78%,25.4,4C,70%,100%,63%,100%,SUPP,56%,0%,-29,-40,-42,2
1,107317,BD12 7EZ,01274 678385,1,9%,5,45%,5,45%,4,36%,91%,100%,100%,30.1,5C,89%,SUPP,SUPP,SUPP,SUPP,100%,0%,24,SUPP,SUPP,4
1,107236,BD6 2PG,01274 414350,14,47%,15,50%,1,3%,27,87%,100%,100%,97%,27.1,4B,100%,100%,100%,100%,SUPP,81%,0%,8,10,8,9
1,132220,BD22 7AX,01535 604240,3,19%,9,56%,4,25%,11,69%,88%,75%,94%,27.6,4B,92%,SUPP,SUPP,89%,SUPP,81%,0%,-4,-16,8,-4
1,107246,BD12 9EL,01274 414904,7,24%,17,59%,5,17%,16,55%,93%,90%,100%,28.1,4A,89%,100%,71%,100%,SUPP,86%,0%,-4,3,1,3
1,132178,BD18 3HZ,01274 584779,8,27%,16,53%,6,20%,12,40%,57%,70%,97%,25.3,4C,55%,60%,50%,56%,67%,67%,0%,-5,-12,5,-12
2,135228,BD9 6AL,01274 484242,17,100%,0,0%,0,0%,8,42%,0%,0%,0%,12,2,0%,0%,0%,SUPP,SUPP,0%,0%,-59,-90,-92,-88
2,135235,BD3 8QX,01274 666472,21,100%,0,0%,0,0%,12,55%,0%,0%,0%,12.1,2,0%,0%,0%,SUPP,SUPP,0%,0%,-59,-90,-92,-88
2,135861,BD6 1EA,01274 696740,6,100%,0,0%,0,0%,4,67%,0%,0%,0%,12,2,0%,SUPP,0%,SUPP,SUPP,0%,0%,-59,SUPP,SUPP,-88
2,135227,BD22 6HZ,01535 607038,6,100%,0,0%,0,0%,4,57%,0%,0%,0%,12.2,2,SUPP,SUPP,0%,SUPP,SUPP,0%,0%,-59,-90,-92,-88
3,,,,1453,23%,3830,60%,1116,17%,2574,39%,87%,87%,92%,27.5,4B,87%,87%,75%,90%,95%,80%,,-1,-1,1,-1
1,107498,HX2 9DG,01422 246610,10,37%,13,48%,4,15%,15,54%,89%,85%,89%,26,4B,80%,100%,80%,92%,SUPP,71%,0%,-15,-4,-9,-2
1,140172,HX2 9DG,01422 246610,,,,,,,,,,,,,,,,,,,,,,,,
1,107569,HX3 0SD,01422 367140,0,0%,20,67%,10,33%,1,3%,97%,90%,97%,31,5C,100%,94%,SUPP,95%,100%,97%,0%,SUPP,SUPP,SUPP,SUPP
1,107534,HX2 8QD,01422 244613,12,29%,21,51%,8,20%,26,63%,95%,98%,98%,28.2,4A,94%,96%,92%,95%,100%,93%,0%,13,7,8,3
1,107499,HD6 4DY,01484 713039,4,14%,15,52%,10,34%,2,7%,97%,97%,97%,29.9,4A,100%,92%,SUPP,93%,100%,97%,0%,27,8,4,11
1,107552,HX4 0BD,01422 823324,1,6%,12,71%,4,24%,0,0%,76%,82%,100%,29.8,4A,60%,100%,SUPP,75%,SUPP,84%,0%,41,SUPP,SUPP,5
1,137337,HX1 5TN,01422 345004,16,31%,30,59%,5,10%,25,43%,92%,90%,88%,27,4B,96%,90%,81%,100%,SUPP,79%,0%,7,8,6,8
1,137392,HX6 2BA,01422 831031,4,14%,21,72%,4,14%,6,20%,93%,93%,93%,28.4,4A,86%,100%,SUPP,95%,SUPP,93%,0%,4,5,-4,3
1,107503,HX4 9HU,01422 374863,3,14%,13,59%,6,27%,2,9%,95%,100%,100%,29.2,4A,90%,100%,SUPP,100%,83%,95%,0%,SUPP,SUPP,SUPP,SUPP
1,137987,HX2 9PF,01422 244283,3,9%,15,45%,15,45%,4,12%,94%,85%,85%,30.5,5C,95%,92%,SUPP,100%,93%,91%,0%,9,-6,-4,3
1,137391,HX7 5DE,01422 883034,2,9%,17,77%,3,14%,8,35%,91%,100%,100%,28.8,4A,90%,92%,SUPP,94%,SUPP,100%,0%,-11,10,5,9
1,107500,HD6 3LT,01484 715969,7,16%,28,62%,10,22%,4,9%,84%,84%,89%,27.8,4B,83%,86%,43%,89%,100%,80%,2%,1,0,3,3
1,107520,OL14 5SQ,01706 813163,6,19%,16,52%,9,29%,6,19%,94%,94%,90%,29.1,4A,95%,91%,83%,100%,89%,97%,0%,8,2,4,7
1,107554,HX6 2BJ,01422 832454,7,23%,20,65%,4,13%,18,58%,77%,90%,84%,26.5,4B,79%,76%,57%,80%,SUPP,84%,0%,-8,2,-5,-2
1,107535,HX2 0QQ,01422 350792,13,50%,10,38%,3,12%,13,43%,77%,96%,100%,25.3,4C,79%,71%,62%,90%,SUPP,70%,0%,-33,3,8,-3
1,107525,HX3 8TW,01422 202086,3,14%,11,52%,7,33%,13,59%,90%,86%,95%,28.2,4A,91%,90%,SUPP,91%,86%,86%,5%,0,-8,-10,-14
1,107512,HX7 7HW,01422 842438,0,0%,6,35%,11,65%,2,12%,100%,94%,100%,32.2,5B,100%,100%,SUPP,100%,100%,100%,0%,SUPP,SUPP,SUPP,SUPP
1,107480,HX3 0TP,01422 354209,3,9%,22,69%,7,22%,4,13%,97%,97%,97%,29.8,4A,100%,93%,SUPP,100%,100%,91%,0%,SUPP,SUPP,SUPP,SUPP
1,107521,OL14 8PL,01706 812787,2,10%,7,35%,11,55%,10,50%,100%,70%,100%,29.3,4A,100%,100%,SUPP,100%,100%,90%,0%,9,3,4,1
1,107508,HX7 5TG,01422 883747,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,107533,HX5 0LP,01422 372614,7,19%,16,43%,14,38%,9,24%,86%,84%,97%,28.3,4A,82%,90%,86%,81%,93%,81%,0%,-9,-7,0,-6
1,107481,HX2 8DQ,01422 258258,3,18%,10,59%,4,24%,13,76%,88%,94%,82%,27.7,4B,80%,100%,SUPP,100%,SUPP,94%,0%,17,10,8,12
1,107550,HX5 0BB,01422 373159,4,21%,9,47%,6,32%,10,53%,84%,68%,84%,26.3,4B,86%,SUPP,SUPP,89%,67%,79%,0%,-21,-17,8,-5
1,107478,OL14 5NR,01706 812412,2,11%,14,78%,2,11%,11,58%,83%,89%,89%,28.7,4A,86%,82%,SUPP,86%,SUPP,89%,0%,2,2,0,-2
1,138398,HD6 3JT,01484 713792,3,14%,15,68%,4,18%,11,50%,100%,100%,95%,28.5,4A,100%,100%,SUPP,100%,SUPP,100%,0%,14,10,8,12
1,136375,HX4 8JB,01422 372893,0,0%,25,53%,22,47%,3,6%,98%,98%,100%,31.9,5C,100%,96%,SUPP,100%,95%,100%,0%,41,9,8,11
1,107551,HX7 6DS,01422 842821,5,23%,10,45%,7,32%,3,14%,82%,86%,100%,28.2,4A,86%,75%,SUPP,90%,100%,82%,0%,-21,SUPP,SUPP,-9
1,107511,HX7 7NX,01422 842533,1,10%,4,40%,5,50%,0,0%,100%,100%,90%,31.1,5C,SUPP,100%,SUPP,SUPP,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,138302,HX1 2ES,01422 367161,11,22%,21,41%,19,37%,16,31%,92%,84%,94%,29.9,4A,86%,97%,82%,90%,100%,81%,0%,11,-7,5,3
1,107505,HX4 9AE,01422 374369,3,10%,12,41%,14,48%,8,28%,97%,90%,97%,29.9,4A,94%,100%,SUPP,100%,100%,93%,0%,9,4,5,6
1,107483,HX3 5EB,01422 352856,8,21%,27,71%,3,8%,20,53%,97%,92%,100%,28.3,4A,93%,100%,100%,96%,SUPP,87%,0%,8,5,6,8
1,107572,HX3 8SH,01422 202235,3,5%,29,49%,27,46%,3,5%,88%,83%,90%,29.2,4A,94%,82%,SUPP,83%,93%,90%,0%,10,-4,-5,3
1,107497,HX2 0QD,01422 434000,11,31%,22,63%,2,6%,22,63%,86%,80%,91%,27.2,4B,88%,84%,82%,86%,SUPP,77%,3%,-3,0,5,3
1,107501,HD6 3AS,01484 715300,12,18%,42,65%,11,17%,23,35%,89%,89%,95%,28.1,4A,94%,84%,83%,88%,100%,80%,0%,-2,-2,2,-1
1,107541,HX2 6PB,01422 886353,5,19%,17,65%,4,15%,6,23%,92%,88%,100%,28.6,4A,100%,89%,SUPP,100%,SUPP,92%,0%,-9,3,4,3
1,137699,HX2 6AU,01422 882298,3,17%,14,78%,1,6%,6,33%,94%,94%,61%,27.3,4B,100%,SUPP,SUPP,93%,SUPP,89%,0%,11,10,-24,10
1,107517,HX2 6TX,01422 882356,3,23%,7,54%,3,23%,3,21%,85%,85%,92%,27.3,4B,100%,SUPP,SUPP,86%,SUPP,71%,0%,SUPP,SUPP,SUPP,SUPP
1,134659,HX2 8AP,01422 365236,16,39%,20,49%,5,12%,30,71%,88%,90%,100%,26.9,4B,87%,89%,75%,95%,SUPP,79%,0%,2,6,4,3
1,107532,HX1 4RG,01422 349618,19,32%,35,59%,5,8%,35,53%,81%,88%,77%,25.1,4C,85%,77%,74%,83%,SUPP,74%,0%,-17,-8,-16,-4
1,139270,HX1 4RG,01422 349618,,,,,,,,,,,,,,,,,,,,,,,,
1,107518,HX6 1DY,01422 831351,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-9,SUPP,SUPP,-15
1,107537,HX6 3RN,01422 831602,0,0%,6,86%,1,14%,0,0%,100%,86%,71%,28.5,4A,SUPP,100%,SUPP,100%,SUPP,86%,0%,SUPP,SUPP,SUPP,SUPP
1,107486,HX3 7EF,01422 202704,1,2%,33,57%,24,41%,5,9%,84%,93%,98%,30.5,5C,88%,82%,SUPP,91%,79%,97%,0%,1,6,6,2
1,137398,HX5 9PL,01422 375316,5,10%,27,55%,17,35%,11,22%,96%,84%,96%,29.2,4A,100%,91%,SUPP,93%,100%,92%,0%,15,-1,7,4
1,107524,HX7 8RY,01422 842859,3,33%,2,22%,4,44%,5,56%,100%,67%,67%,28.5,4A,100%,SUPP,SUPP,SUPP,SUPP,78%,0%,-2,-2,-11,9
1,107487,HX1 3XL,01422 362227,22,36%,38,62%,1,2%,38,61%,95%,98%,92%,28.5,4A,91%,100%,91%,97%,SUPP,94%,0%,0,10,3,11
1,107477,HX3 6PU,01422 351291,2,9%,14,64%,6,27%,12,55%,100%,100%,100%,30.6,5C,100%,100%,SUPP,100%,100%,100%,0%,19,10,-2,8
1,107514,HX6 4AH,01422 823362,1,4%,12,43%,15,54%,4,14%,96%,96%,100%,31.3,5C,93%,100%,SUPP,100%,100%,96%,0%,8,0,6,-11
1,107529,HX7 8EE,01422 842154,7,15%,17,36%,23,49%,8,16%,98%,100%,85%,30.4,5C,96%,100%,100%,100%,96%,98%,0%,-3,9,-1,0
1,107558,HX6 1BL,01422 831360,1,6%,10,59%,6,35%,9,50%,100%,100%,94%,30.6,5C,SUPP,100%,SUPP,100%,100%,100%,0%,41,10,4,12
1,107547,HD6 2AN,01484 712895,7,13%,33,60%,15,27%,14,25%,85%,93%,89%,28.2,4A,85%,86%,86%,82%,93%,91%,0%,4,3,-3,-3
1,107543,HX1 5PG,01422 360615,6,29%,10,48%,5,24%,6,29%,86%,67%,81%,26.2,4B,92%,78%,100%,80%,SUPP,67%,0%,-1,-19,-3,1
1,107549,HD6 2PA,01484 712361,4,14%,18,62%,7,24%,2,7%,93%,100%,100%,29.9,4A,92%,94%,SUPP,100%,100%,93%,0%,24,8,4,5
1,137545,HD6 4HP,01484 713036,2,6%,14,45%,15,48%,1,3%,87%,84%,81%,29.6,4A,86%,88%,SUPP,86%,93%,97%,0%,SUPP,SUPP,SUPP,SUPP
1,107553,HX6 4QR,01422 822596,2,14%,7,50%,5,36%,0,0%,100%,93%,93%,31,5C,100%,100%,SUPP,100%,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,107544,HX3 6LA,01422 360646,1,3%,21,72%,7,24%,13,43%,93%,97%,100%,29.2,4A,91%,94%,SUPP,90%,100%,100%,0%,27,7,8,9
